Series,Product Name,Power,Price (USD),Old Price,Range,Wavelength,Battery,Features,URL
KX,KX500-DIY Laser Cannon,500W,1299,1599,80m,915nm,DC 46V 10Ah,5yr lifespan Fast charging 6kg,https://laserplays.com/product/kx500-diy-laser-cannon-handheld-500w-battery-dc-46v-10ah-wavelength-915-range-80-m-battery-life-5-years-with-fast-charging/
KX,KX130-DIY Laser Cannon,130W,499,599,10-15m,915nm,6-lens,5yr battery life Fast charging,https://laserplays.com/product/kx130-diy-laser-cannon-130w/
SQ,SQ500-2 DIY Laser Cannon,500W,1199,1499,80m,915nm,DC 46V 10Ah,5yr lifespan Fast charging 5.5kg,https://laserplays.com/product/sq500-2-diy-laser-cannon-500w/
HT,HT-280 Fiber Laser Cannon,280W,1899,,,1064nm,,Fiber core 8um Air cooling 500W power supply,https://laserplays.com/product/ht-280-fiber-laser-cannon/
HT,HT-140 Fiber Laser Cannon,140W,999,,,,,Fiber laser Compact design,https://laserplays.com/product/ht-140-fiber-laser-cannon/
YZ,YZ130-01 DIY Laser Cannon,130W,459,,15m,915nm,DC 16.8V 5Ah,5yr life Fast charging,https://laserplays.com/product/yz130-01-diy-laser-cannon-130w/
YZ,YZ130-02 DIY Laser Cannon,130W,479,,15m,974nm,DC 16.8V 5Ah,5yr life Fast charging,https://laserplays.com/product/yz130-02-diy-laser-cannon-130w/
YZ,YZ120-02 DIY Laser Cannon,120W,309,,5-10m,1064nm,DC 14.8V 5Ah,5yr life,https://laserplays.com/product/yz120-02-diy-laser-cannon-120w/
YZ,YZ-40 Mini Laser Cannon,40W,149,,1m,974nm,1500mA*2,Type-C charging 2yr life 0.5kg,https://laserplays.com/product/yz-40-mini-laser-cannon-40w/
JGX3,JGX3-130 Laser Cannon,130W,389,,10m,18.5V 1.1ah x2,1kg Laser-pumped Spare battery,https://laserplays.com/product/jgx3-120-laser-cannon-120w-range-10-m-battery-18-5v-1-1ah-battery-x1-spare-battery-x1/
JGX3,JGX3-120 Laser Cannon,120W,349,,10m,,18.5V 1.1ah x2,1kg M22x0.75 lens mount Goggles included,https://laserplays.com/product/jgx3-120-laser-cannon-120w-range-10-m-battery-18-5v-1-1ah-battery-x1-spare-battery-x1/
DC,DC-40 Mini Laser Cannon,40W,129,179,1m,,,80W power consumption 0.5kg Silent fan 45C protection,https://laserplays.com/product/dc-40-mini-laser-cannon-40w/
YT,YT-120 Laser Cannon,120W,329,,,,,Mid-range Balanced power,https://laserplays.com/product/yt-120-laser-cannon-120w/
LQ,LQ1-1000 Handheld Laser Obstacle Remover (Premium 2-Battery),1000W,2499,,,,,Two Batteries Premium Edition Industrial grade,https://laserplays.com/
LQ,LQ1-1000 Handheld Laser Obstacle Remover (Single Battery Upgrade),1000W,1999,,,,,Single Battery Upgrade Edition Portable,https://laserplays.com/
